"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max";"temperature (sanpedro 002)";"std";"min";"max";"humidity (sanpedro 003)";"std";"min";"max";"temperature (sanpedro 003)";"std";"min";"max";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max";"humidity (sanpedro 005)";"std";"min";"max";"temperature (sanpedro 005)";"std";"min";"max"
"2013-04-15 08:11:55";"2013-04-15 08:11:57";95;0;95;95;16.1;0;16.1;16.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:57";"2013-04-15 08:11:58";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:58";"2013-04-15 08:12:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:00";"2013-04-15 08:12:01";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:01";"2013-04-15 08:12:03";86.9;0;86.9;86.9;15.7;0;15.7;15.7;;;;;;;;;86;0;86;86;15.7;0;15.7;15.7;14.2;0;14.2;14.2;;;;;;;;
"2013-04-15 08:12:03";"2013-04-15 08:12:04";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:04";"2013-04-15 08:12:06";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:06";"2013-04-15 08:12:07";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:07";"2013-04-15 08:12:09";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:09";"2013-04-15 08:12:10";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:10";"2013-04-15 08:12:12";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:12";"2013-04-15 08:12:13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:13";"2013-04-15 08:12:15";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:15";"2013-04-15 08:12:16";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:16";"2013-04-15 08:12:18";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:18";"2013-04-15 08:12:19";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:19";"2013-04-15 08:12:21";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:21";"2013-04-15 08:12:22";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:22";"2013-04-15 08:12:24";92.7;0;92.7;92.7;16.5;0;16.5;16.5;;;;;;;;;87;0;87;87;15.7;0;15.7;15.7;14.3;0;14.3;14.3;;;;;;;;
"2013-04-15 08:12:24";"2013-04-15 08:12:25";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:25";"2013-04-15 08:12:27";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:27";"2013-04-15 08:12:28";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:28";"2013-04-15 08:12:30";86.9;0;86.9;86.9;15.8;0;15.8;15.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:30";"2013-04-15 08:12:31";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:31";"2013-04-15 08:12:33";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:33";"2013-04-15 08:12:34";;;;;;;;;;;;;;;;;86;0;86;86;15.8;0;15.8;15.8;14.3;0;14.3;14.3;;;;;;;;
"2013-04-15 08:12:34";"2013-04-15 08:12:36";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:36";"2013-04-15 08:12:37";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:37";"2013-04-15 08:12:39";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:39";"2013-04-15 08:12:40";95;0;95;95;16.2;0;16.2;16.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:40";"2013-04-15 08:12:42";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:42";"2013-04-15 08:12:43";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:43";"2013-04-15 08:12:45";;;;;;;;;;;;;;;;;86;0;86;86;15.9;0;15.9;15.9;14.3;0;14.3;14.3;;;;;;;;
"2013-04-15 08:12:45";"2013-04-15 08:12:46";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:46";"2013-04-15 08:12:48";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:48";"2013-04-15 08:12:49";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
