"inicio";"fin";"humidity (timana0 001)";"std";"min";"max";"temp_dry (timana0 001)";"std";"min";"max";"temp_wet (timana0 001)";"std";"min";"max"
"2013-08-09 15:40:00";"2013-08-09 15:50:00";;;;;;;;;;;;
"2013-08-09 15:50:00";"2013-08-09 16:00:00";;;;;;;;;;;;
"2013-08-09 16:00:00";"2013-08-09 16:10:00";;;;;;;;;;;;
"2013-08-09 16:10:00";"2013-08-09 16:20:00";;;;;;;;;;;;
"2013-08-09 16:20:00";"2013-08-09 16:30:00";;;;;;;;;;;;
"2013-08-09 16:30:00";"2013-08-09 16:40:00";;;;;;;;;;;;
"2013-08-09 16:40:00";"2013-08-09 16:50:00";;;;;;;;;;;;
"2013-08-09 16:50:00";"2013-08-09 17:00:00";;;;;;;;;;;;
"2013-08-09 17:00:00";"2013-08-09 17:10:00";;;;;;;;;;;;
"2013-08-09 17:10:00";"2013-08-09 17:20:00";;;;;;;;;;;;
"2013-08-09 17:20:00";"2013-08-09 17:30:00";;;;;;;;;;;;
"2013-08-09 17:30:00";"2013-08-09 17:40:00";;;;;;;;;;;;
"2013-08-09 17:40:00";"2013-08-09 17:50:00";;;;;;;;;;;;
"2013-08-09 17:50:00";"2013-08-09 18:00:00";;;;;;;;;;;;
"2013-08-09 18:00:00";"2013-08-09 18:10:00";;;;;;;;;;;;
"2013-08-09 18:10:00";"2013-08-09 18:20:00";;;;;;;;;;;;
"2013-08-09 18:20:00";"2013-08-09 18:30:00";;;;;;;;;;;;
"2013-08-09 18:30:00";"2013-08-09 18:40:00";;;;;;;;;;;;
"2013-08-09 18:40:00";"2013-08-09 18:50:00";;;;;;;;;;;;
"2013-08-09 18:50:00";"2013-08-09 19:00:00";;;;;;;;;;;;
"2013-08-09 19:00:00";"2013-08-09 19:10:00";;;;;;;;;;;;
"2013-08-09 19:10:00";"2013-08-09 19:20:00";;;;;;;;;;;;
"2013-08-09 19:20:00";"2013-08-09 19:30:00";;;;;;;;;;;;
"2013-08-09 19:30:00";"2013-08-09 19:40:00";;;;;;;;;;;;
"2013-08-09 19:40:00";"2013-08-09 19:50:00";;;;;;;;;;;;
"2013-08-09 19:50:00";"2013-08-09 20:00:00";;;;;;;;;;;;
"2013-08-09 20:00:00";"2013-08-09 20:10:00";;;;;;;;;;;;
"2013-08-09 20:10:00";"2013-08-09 20:20:00";;;;;;;;;;;;
"2013-08-09 20:20:00";"2013-08-09 20:30:00";;;;;;;;;;;;
"2013-08-09 20:30:00";"2013-08-09 20:40:00";;;;;;;;;;;;
"2013-08-09 20:40:00";"2013-08-09 20:50:00";;;;;;;;;;;;
"2013-08-09 20:50:00";"2013-08-09 21:00:00";;;;;;;;;;;;
"2013-08-09 21:00:00";"2013-08-09 21:10:00";;;;;;;;;;;;
"2013-08-09 21:10:00";"2013-08-09 21:20:00";;;;;;;;;;;;
"2013-08-09 21:20:00";"2013-08-09 21:30:00";;;;;;;;;;;;
"2013-08-09 21:30:00";"2013-08-09 21:40:00";;;;;;;;;;;;
"2013-08-09 21:40:00";"2013-08-09 21:50:00";;;;;;;;;;;;
"2013-08-09 21:50:00";"2013-08-09 22:00:00";;;;;;;;;;;;
"2013-08-09 22:00:00";"2013-08-09 22:10:00";;;;;;;;;;;;
"2013-08-09 22:10:00";"2013-08-09 22:20:00";;;;;;;;;;;;
"2013-08-09 22:20:00";"2013-08-09 22:30:00";;;;;;;;;;;;
"2013-08-09 22:30:00";"2013-08-09 22:40:00";;;;;;;;;;;;
"2013-08-09 22:40:00";"2013-08-09 22:50:00";;;;;;;;;;;;
"2013-08-09 22:50:00";"2013-08-09 23:00:00";;;;;;;;;;;;
"2013-08-09 23:00:00";"2013-08-09 23:10:00";;;;;;;;;;;;
"2013-08-09 23:10:00";"2013-08-09 23:20:00";;;;;;;;;;;;
"2013-08-09 23:20:00";"2013-08-09 23:30:00";;;;;;;;;;;;
"2013-08-09 23:30:00";"2013-08-09 23:40:00";;;;;;;;;;;;
"2013-08-09 23:40:00";"2013-08-09 23:50:00";;;;;;;;;;;;
"2013-08-09 23:50:00";"2013-08-10 00:00:00";;;;;;;;;;;;
