"inicio";"fin";"humidity (marly 003)";"std";"min";"max";"temperature (marly 003)";"std";"min";"max"
"2013-05-02 12:00:00";"2013-05-02 15:00:00";;;;;;;;
"2013-05-02 15:00:00";"2013-05-02 18:00:00";;;;;;;;
"2013-05-02 18:00:00";"2013-05-02 21:00:00";;;;;;;;
"2013-05-02 21:00:00";"2013-05-03 00:00:00";;;;;;;;
"2013-05-03 00:00:00";"2013-05-03 03:00:00";;;;;;;;
"2013-05-03 03:00:00";"2013-05-03 06:00:00";;;;;;;;
"2013-05-03 06:00:00";"2013-05-03 09:00:00";;;;;;;;
"2013-05-03 09:00:00";"2013-05-03 12:00:00";;;;;;;;
"2013-05-03 12:00:00";"2013-05-03 15:00:00";;;;;;;;
"2013-05-03 15:00:00";"2013-05-03 18:00:00";;;;;;;;
"2013-05-03 18:00:00";"2013-05-03 21:00:00";;;;;;;;
"2013-05-03 21:00:00";"2013-05-04 00:00:00";;;;;;;;
"2013-05-04 00:00:00";"2013-05-04 03:00:00";;;;;;;;
"2013-05-04 03:00:00";"2013-05-04 06:00:00";;;;;;;;
"2013-05-04 06:00:00";"2013-05-04 09:00:00";;;;;;;;
"2013-05-04 09:00:00";"2013-05-04 12:00:00";;;;;;;;
"2013-05-04 12:00:00";"2013-05-04 15:00:00";;;;;;;;
"2013-05-04 15:00:00";"2013-05-04 18:00:00";;;;;;;;
"2013-05-04 18:00:00";"2013-05-04 21:00:00";;;;;;;;
"2013-05-04 21:00:00";"2013-05-05 00:00:00";;;;;;;;
"2013-05-05 00:00:00";"2013-05-05 03:00:00";;;;;;;;
"2013-05-05 03:00:00";"2013-05-05 06:00:00";;;;;;;;
"2013-05-05 06:00:00";"2013-05-05 09:00:00";;;;;;;;
"2013-05-05 09:00:00";"2013-05-05 12:00:00";;;;;;;;
"2013-05-05 12:00:00";"2013-05-05 15:00:00";;;;;;;;
"2013-05-05 15:00:00";"2013-05-05 18:00:00";;;;;;;;
"2013-05-05 18:00:00";"2013-05-05 21:00:00";;;;;;;;
"2013-05-05 21:00:00";"2013-05-06 00:00:00";;;;;;;;
"2013-05-06 00:00:00";"2013-05-06 03:00:00";;;;;;;;
"2013-05-06 03:00:00";"2013-05-06 06:00:00";;;;;;;;
"2013-05-06 06:00:00";"2013-05-06 09:00:00";;;;;;;;
"2013-05-06 09:00:00";"2013-05-06 12:00:00";;;;;;;;
"2013-05-06 12:00:00";"2013-05-06 15:00:00";;;;;;;;
"2013-05-06 15:00:00";"2013-05-06 18:00:00";;;;;;;;
"2013-05-06 18:00:00";"2013-05-06 21:00:00";;;;;;;;
"2013-05-06 21:00:00";"2013-05-07 00:00:00";;;;;;;;
"2013-05-07 00:00:00";"2013-05-07 03:00:00";;;;;;;;
"2013-05-07 03:00:00";"2013-05-07 06:00:00";;;;;;;;
"2013-05-07 06:00:00";"2013-05-07 09:00:00";;;;;;;;
"2013-05-07 09:00:00";"2013-05-07 12:00:00";;;;;;;;
"2013-05-07 12:00:00";"2013-05-07 15:00:00";;;;;;;;
"2013-05-07 15:00:00";"2013-05-07 18:00:00";;;;;;;;
