"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max"
"2013-09-25 00:00:00";"2013-09-25 03:00:00";91.70333;0.05467;91.6;91.8
"2013-09-25 03:00:00";"2013-09-25 06:00:00";91.65;0.08192;91.6;91.8
"2013-09-25 06:00:00";"2013-09-25 09:00:00";77.83875;7.97962;66.8;92.6
"2013-09-25 09:00:00";"2013-09-25 12:00:00";62.99336;5.69323;51.2;77.3
"2013-09-25 12:00:00";"2013-09-25 15:00:00";57.58749;7.97504;40.6;74.2
"2013-09-25 15:00:00";"2013-09-25 18:00:00";66.92731;11.8914;52.3;92.5
"2013-09-25 18:00:00";"2013-09-25 21:00:00";92.33878;0.06644;92.2;92.4
"2013-09-25 21:00:00";"2013-09-26 00:00:00";92.14364;0.04959;92.1;92.2
"2013-09-26 00:00:00";"2013-09-26 03:00:00";91.94;0.05908;91.9;92.1
"2013-09-26 03:00:00";"2013-09-26 06:00:00";91.94146;0.07643;91.8;92
"2013-09-26 06:00:00";"2013-09-26 09:00:00";78.40174;8.92597;65.5;92.4
"2013-09-26 09:00:00";"2013-09-26 12:00:00";56.45553;10.01904;34.7;82.7
"2013-09-26 12:00:00";"2013-09-26 15:00:00";64.65827;11.15926;44.7;82.3
"2013-09-26 15:00:00";"2013-09-26 18:00:00";76.81985;5.99554;66.7;92.2
"2013-09-26 18:00:00";"2013-09-26 21:00:00";92.31034;0.08845;92.1;92.4
"2013-09-26 21:00:00";"2013-09-27 00:00:00";92.2;0;92.2;92.2
"2013-09-27 00:00:00";"2013-09-27 03:00:00";92.11207;0.10517;91.9;92.2
"2013-09-27 03:00:00";"2013-09-27 06:00:00";91.68906;0.09701;91.6;91.9
"2013-09-27 06:00:00";"2013-09-27 09:00:00";69.98958;11.07644;57.3;92.4
"2013-09-27 09:00:00";"2013-09-27 12:00:00";54.54752;5.34164;43.9;68.8
"2013-09-27 12:00:00";"2013-09-27 15:00:00";50.97903;8.20496;36.7;73.1
"2013-09-27 15:00:00";"2013-09-27 18:00:00";79.27208;7.73625;62.4;91.3
"2013-09-27 18:00:00";"2013-09-27 21:00:00";91.82255;0.47215;90.7;92.3
"2013-09-27 21:00:00";"2013-09-28 00:00:00";91.96271;0.07789;91.8;92.1
"2013-09-28 00:00:00";"2013-09-28 03:00:00";91.80208;0.01428;91.8;91.9
"2013-09-28 03:00:00";"2013-09-28 06:00:00";91.86522;0.04763;91.8;91.9
"2013-09-28 06:00:00";"2013-09-28 09:00:00";65.40145;12.1648;50.9;92.3
"2013-09-28 09:00:00";"2013-09-28 12:00:00";55.48661;7.6929;38.3;70.3
"2013-09-28 12:00:00";"2013-09-28 15:00:00";72.57959;10.71373;42.3;87.8
"2013-09-28 15:00:00";"2013-09-28 18:00:00";66.95642;10.93194;44.8;85.7
"2013-09-28 18:00:00";"2013-09-28 21:00:00";89.40249;2.61402;83.4;92.3
"2013-09-28 21:00:00";"2013-09-29 00:00:00";92.20893;0.04341;92.1;92.3
"2013-09-29 00:00:00";"2013-09-29 03:00:00";91.95614;0.08169;91.9;92.1
"2013-09-29 03:00:00";"2013-09-29 06:00:00";91.92553;0.0436;91.9;92
"2013-09-29 06:00:00";"2013-09-29 09:00:00";75.57425;12.53357;53.8;92.4
