"inicio";"fin";"humidity (valentina 001)";"std";"min";"max";"temperature (valentina 001)";"std";"min";"max"
"2013-04-24 00:00:00";"2013-04-24 03:00:00";86.21944;0.0995;86;86.3;10.78333;0.84574;9;11.8
"2013-04-24 03:00:00";"2013-04-24 06:00:00";86.075;0.08292;86;86.3;9.75833;0.64823;8.7;11.2
"2013-04-24 06:00:00";"2013-04-24 09:00:00";84.51111;3.13411;75.6;86.6;13.39444;1.27081;11.4;15.6
"2013-04-24 09:00:00";"2013-04-24 12:00:00";67.49722;4.17642;61.2;78.3;17.14167;0.82576;15.1;18.8
"2013-04-24 12:00:00";"2013-04-24 15:00:00";51.03611;5.15516;43.5;61.3;20.35556;1.41175;17.3;22.5
"2013-04-24 15:00:00";"2013-04-24 18:00:00";53.99722;7.87903;41.5;71.7;19.15;2.38671;14.2;23.2
"2013-04-24 18:00:00";"2013-04-24 21:00:00";79.81429;2.73309;74.3;84.9;13.21429;0.23802;12.4;13.8
"2013-04-24 21:00:00";"2013-04-25 00:00:00";84.00278;1.94315;80.3;86.5;12.27778;0.27599;11.7;12.8
"2013-04-25 00:00:00";"2013-04-25 03:00:00";86.38611;0.04185;86.2;86.4;12.03056;0.27671;11.3;12.3
"2013-04-25 03:00:00";"2013-04-25 06:00:00";86.3;0;86.3;86.3;11.36667;0.04714;11.3;11.4
"2013-04-25 06:00:00";"2013-04-25 09:00:00";;;;;;;;
"2013-04-25 09:00:00";"2013-04-25 12:00:00";;;;;;;;
"2013-04-25 12:00:00";"2013-04-25 15:00:00";;;;;;;;
"2013-04-25 15:00:00";"2013-04-25 18:00:00";;;;;;;;
"2013-04-25 18:00:00";"2013-04-25 21:00:00";;;;;;;;
"2013-04-25 21:00:00";"2013-04-26 00:00:00";;;;;;;;
"2013-04-26 00:00:00";"2013-04-26 03:00:00";;;;;;;;
"2013-04-26 03:00:00";"2013-04-26 06:00:00";;;;;;;;
"2013-04-26 06:00:00";"2013-04-26 09:00:00";;;;;;;;
"2013-04-26 09:00:00";"2013-04-26 12:00:00";;;;;;;;
"2013-04-26 12:00:00";"2013-04-26 15:00:00";;;;;;;;
"2013-04-26 15:00:00";"2013-04-26 18:00:00";;;;;;;;
"2013-04-26 18:00:00";"2013-04-26 21:00:00";;;;;;;;
"2013-04-26 21:00:00";"2013-04-27 00:00:00";;;;;;;;
"2013-04-27 00:00:00";"2013-04-27 03:00:00";;;;;;;;
"2013-04-27 03:00:00";"2013-04-27 06:00:00";;;;;;;;
"2013-04-27 06:00:00";"2013-04-27 09:00:00";;;;;;;;
"2013-04-27 09:00:00";"2013-04-27 12:00:00";;;;;;;;
"2013-04-27 12:00:00";"2013-04-27 15:00:00";;;;;;;;
"2013-04-27 15:00:00";"2013-04-27 18:00:00";;;;;;;;
"2013-04-27 18:00:00";"2013-04-27 21:00:00";;;;;;;;
