"inicio";"fin";"humidity (marly 003)";"std";"min";"max"
"2013-05-11 21:00:00";"2013-05-12 00:00:00";86.425;0.29047;86.2;86.8
"2013-05-12 00:00:00";"2013-05-12 03:00:00";86.2;0;86.2;86.2
"2013-05-12 03:00:00";"2013-05-12 06:00:00";;;;
"2013-05-12 06:00:00";"2013-05-12 09:00:00";;;;
"2013-05-12 09:00:00";"2013-05-12 12:00:00";;;;
"2013-05-12 12:00:00";"2013-05-12 15:00:00";;;;
"2013-05-12 15:00:00";"2013-05-12 18:00:00";;;;
"2013-05-12 18:00:00";"2013-05-12 21:00:00";;;;
"2013-05-12 21:00:00";"2013-05-13 00:00:00";;;;
"2013-05-13 00:00:00";"2013-05-13 03:00:00";;;;
"2013-05-13 03:00:00";"2013-05-13 06:00:00";;;;
"2013-05-13 06:00:00";"2013-05-13 09:00:00";;;;
"2013-05-13 09:00:00";"2013-05-13 12:00:00";;;;
"2013-05-13 12:00:00";"2013-05-13 15:00:00";;;;
"2013-05-13 15:00:00";"2013-05-13 18:00:00";;;;
"2013-05-13 18:00:00";"2013-05-13 21:00:00";;;;
"2013-05-13 21:00:00";"2013-05-14 00:00:00";;;;
"2013-05-14 00:00:00";"2013-05-14 03:00:00";;;;
"2013-05-14 03:00:00";"2013-05-14 06:00:00";;;;
"2013-05-14 06:00:00";"2013-05-14 09:00:00";;;;
"2013-05-14 09:00:00";"2013-05-14 12:00:00";;;;
"2013-05-14 12:00:00";"2013-05-14 15:00:00";;;;
"2013-05-14 15:00:00";"2013-05-14 18:00:00";;;;
"2013-05-14 18:00:00";"2013-05-14 21:00:00";;;;
"2013-05-14 21:00:00";"2013-05-15 00:00:00";;;;
"2013-05-15 00:00:00";"2013-05-15 03:00:00";;;;
"2013-05-15 03:00:00";"2013-05-15 06:00:00";;;;
"2013-05-15 06:00:00";"2013-05-15 09:00:00";;;;
"2013-05-15 09:00:00";"2013-05-15 12:00:00";;;;
"2013-05-15 12:00:00";"2013-05-15 15:00:00";83.05625;3.31153;76;87
"2013-05-15 15:00:00";"2013-05-15 18:00:00";86.37308;0.19127;86.3;86.9
"2013-05-15 18:00:00";"2013-05-15 21:00:00";86.35;0.32016;86.1;86.8
"2013-05-15 21:00:00";"2013-05-16 00:00:00";86.5;0.3;86.2;86.8
"2013-05-16 00:00:00";"2013-05-16 03:00:00";86.4;0.3;86.1;86.7
"2013-05-16 03:00:00";"2013-05-16 06:00:00";86.375;0.29047;86;86.6
"2013-05-16 06:00:00";"2013-05-16 09:00:00";69.95;3.25;66.7;73.2
