"inicio";"fin";"humidity (fantasy 003)";"std";"min";"max";"temp_dry (fantasy 003)";"std";"min";"max";"temp_wet (fantasy 003)";"std";"min";"max"
"2013-08-05 08:00:00";"2013-08-05 17:48:00";59.5;5.56527;51;74;20.33519;2.33271;16.1;25.8;14.87778;2.15825;11.3;19.5
"2013-08-05 17:48:00";"2013-08-06 03:36:00";;;;;;;;;;;;
"2013-08-06 03:36:00";"2013-08-06 13:24:00";;;;;;;;;;;;
"2013-08-06 13:24:00";"2013-08-06 23:12:00";;;;;;;;;;;;
"2013-08-06 23:12:00";"2013-08-07 09:00:00";;;;;;;;;;;;
"2013-08-07 09:00:00";"2013-08-07 18:48:00";;;;;;;;;;;;
"2013-08-07 18:48:00";"2013-08-08 04:36:00";;;;;;;;;;;;
"2013-08-08 04:36:00";"2013-08-08 14:24:00";;;;;;;;;;;;
"2013-08-08 14:24:00";"2013-08-09 00:12:00";;;;;;;;;;;;
"2013-08-09 00:12:00";"2013-08-09 10:00:00";;;;;;;;;;;;
"2013-08-09 10:00:00";"2013-08-09 19:48:00";;;;;;;;;;;;
"2013-08-09 19:48:00";"2013-08-10 05:36:00";;;;;;;;;;;;
"2013-08-10 05:36:00";"2013-08-10 15:24:00";;;;;;;;;;;;
"2013-08-10 15:24:00";"2013-08-11 01:12:00";;;;;;;;;;;;
"2013-08-11 01:12:00";"2013-08-11 11:00:00";;;;;;;;;;;;
"2013-08-11 11:00:00";"2013-08-11 20:48:00";;;;;;;;;;;;
"2013-08-11 20:48:00";"2013-08-12 06:36:00";;;;;;;;;;;;
"2013-08-12 06:36:00";"2013-08-12 16:24:00";;;;;;;;;;;;
"2013-08-12 16:24:00";"2013-08-13 02:12:00";;;;;;;;;;;;
"2013-08-13 02:12:00";"2013-08-13 12:00:00";;;;;;;;;;;;
"2013-08-13 12:00:00";"2013-08-13 21:48:00";;;;;;;;;;;;
"2013-08-13 21:48:00";"2013-08-14 07:36:00";;;;;;;;;;;;
"2013-08-14 07:36:00";"2013-08-14 17:24:00";;;;;;;;;;;;
"2013-08-14 17:24:00";"2013-08-15 03:12:00";;;;;;;;;;;;
"2013-08-15 03:12:00";"2013-08-15 13:00:00";59.52041;34.14547;-2;97;44.2102;52.91618;7.6;140.1;16.74643;15.53241;7.2;96.4
"2013-08-15 13:00:00";"2013-08-15 22:48:00";29.70588;32.60957;-1;66;84.71176;57.50626;22.6;139.7;17.14706;1.48329;15.3;19.8
"2013-08-15 22:48:00";"2013-08-16 08:36:00";;;;;;;;;;;;
"2013-08-16 08:36:00";"2013-08-16 18:24:00";;;;;;;;;;;;
"2013-08-16 18:24:00";"2013-08-17 04:12:00";;;;;;;;;;;;
"2013-08-17 04:12:00";"2013-08-17 14:00:00";;;;;;;;;;;;
"2013-08-17 14:00:00";"2013-08-17 23:48:00";;;;;;;;;;;;
"2013-08-17 23:48:00";"2013-08-18 09:36:00";;;;;;;;;;;;
"2013-08-18 09:36:00";"2013-08-18 19:24:00";;;;;;;;;;;;
"2013-08-18 19:24:00";"2013-08-19 05:12:00";;;;;;;;;;;;
"2013-08-19 05:12:00";"2013-08-19 15:00:00";;;;;;;;;;;;
"2013-08-19 15:00:00";"2013-08-20 00:48:00";;;;;;;;;;;;
"2013-08-20 00:48:00";"2013-08-20 10:36:00";;;;;;;;;;;;
"2013-08-20 10:36:00";"2013-08-20 20:24:00";;;;;;;;;;;;
"2013-08-20 20:24:00";"2013-08-21 06:12:00";;;;;;;;;;;;
"2013-08-21 06:12:00";"2013-08-21 16:00:00";;;;;;;;;;;;
"2013-08-21 16:00:00";"2013-08-22 01:48:00";;;;;;;;;;;;
"2013-08-22 01:48:00";"2013-08-22 11:36:00";;;;;;;;;;;;
"2013-08-22 11:36:00";"2013-08-22 21:24:00";;;;;;;;;;;;
"2013-08-22 21:24:00";"2013-08-23 07:12:00";;;;;;;;;;;;
"2013-08-23 07:12:00";"2013-08-23 17:00:00";;;;;;;;;;;;
